"146449 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 994,01 107,34 468,66 175 770000 0 0 6 ""0472"" 0 0 0 0 0 no "
"146589 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 886,24 85,59 407,37 175 770000 0 0 3 ""1511"" 0 0 0 0 0 no "
"146621 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 936,43 0 936,43 175 710000 0 0 4 ""1511"" 0 0 0 0 0 no "
"146688 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1352,31 0 1352,31 175 710000 0 0 5 ""1511"" 0 0 0 0 0 no "
"146811 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 636,66 60,55 378,62 175 770000 0 0 5 ""1511"" 0 0 0 0 0 no "
"147082 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1278,3 0 1278,3 175 710000 0 0 4 ""8491"" 0 0 0 0 0 no "
"147116 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 637,44 0 332,3 175 770000 0 0 0 ""0471"" 0 0 0 0 0 no "
"147157 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 982,94 0 982,94 175 750000 0 0 0 ""1511"" 0 0 0 0 0 no "
"147207 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 736,32 0 736,32 175 740000 0 0 0 ""1511"" 0 0 0 0 0 no "
"147298 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1349,95 0 1349,95 175 760000 0 0 4 ""0471"" 0 0 0 0 0 no "
"147348 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1068,21 0 1068,21 175 710000 0 0 3 ""0471"" 0 0 0 0 0 no "
"147363 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 914,49 0 914,49 175 740000 0 0 4 ""0471"" 0 0 0 0 0 no "
"147371 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1120,58 0 1120,58 175 740000 0 0 1 ""8491"" 0 0 0 0 0 no "
"147579 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1429,95 0 1429,95 175 710000 0 0 3 ""8491"" 0 0 0 0 0 no "
"147710 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1168,75 0 1168,75 175 710000 0 0 0 ""3121"" 0 0 0 0 0 no "
"147728 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1620,75 0 1620,75 175 740000 0 0 3 ""1511"" 0 0 0 0 0 no "
"147892 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1069,85 0 1069,85 175 760000 0 0 1 ""2651"" 0 0 0 0 0 no "
